Unnamed: 0,Name,Brand,Price,DiscountedPrice,BreadCrumbs,Category,SubCategory,Quantity,Description,LongDescription
229,Anti Acne Facewash Neem,Himalaya,210,210.0,Skin Care & Beauty / Skin Care,Skin Care & Beauty,Skin Care,200 ml,"Himalaya Turmeric Herbals Purifying Neem Face Pack is enriched with the goodness of Neem extract and Turmeric. While it cleanses the skin in a better way, the face pack also keeps the skin softer.",Purifying Neem Face Wash
230,Anti Acne Facewash Neem,Himalaya,170,145.0,Skin Care & Beauty / Skin Care,Skin Care & Beauty,Skin Care,150 ml,"Himalaya Turmeric Herbals Purifying Neem Face Pack is enriched with the goodness of Neem extract and Turmeric. While it cleanses the skin in a better way, the face pack also keeps the skin softer.",Purifying Neem Face Wash
231,Anti Acne Facewash Neem,Himalaya,130,117.0,Skin Care & Beauty / Skin Care,Skin Care & Beauty,Skin Care,100 ml,"Himalaya Turmeric Herbals Purifying Neem Face Pack is enriched with the goodness of Neem extract and Turmeric. While it cleanses the skin in a better way, the face pack also keeps the skin softer.",Purifying Neem Face Wash
232,Mango Drink,FROOTI,105,105.0,Beverages / Soft Drinks & Juices,Beverages,Soft Drinks & Juices,2.25 L, ,"Frooti Mango Drink is something that would boost energy even during the summer season. Since the juice is available in a small plastic bottle, you can carry it when you're on a long trip.Mango pulpAntioxidantAcidity regulator"
233,Mango Drink,FROOTI,100,100.0,Beverages / Soft Drinks & Juices,Beverages,Soft Drinks & Juices,2 L, ,"Frooti Mango Drink is something that would boost energy even during the summer season. Since the juice is available in a small plastic bottle, you can carry it when you're on a long trip.Mango pulpAntioxidantAcidity regulator"
234,Mango Drink,FROOTI,70,70.0,Beverages / Soft Drinks & Juices,Beverages,Soft Drinks & Juices,1.2 L, ,"Frooti Mango Drink is something that would boost energy even during the summer season. Since the juice is available in a small plastic bottle, you can carry it when you're on a long trip.Mango pulpAntioxidantAcidity regulator"
235,Mango Drink,FROOTI,40,40.0,Beverages / Soft Drinks & Juices,Beverages,Soft Drinks & Juices,600 ml, ,"Frooti Mango Drink is something that would boost energy even during the summer season. Since the juice is available in a small plastic bottle, you can carry it when you're on a long trip.Mango pulpAntioxidantAcidity regulator"
236,Whole Wheat Atta,AASHIRVAAD,270,240.0,Staples / Atta & Flours / Festive Store,Staples,Festive Store,5 kg,Refer Pic,Non-sticky doughSoft and tasty rotiesAbsorbs more water
237,Poppy Seed/Khus Khus,GOLDEN HARVEST,880,399.29,Staples / Masalas & Spices,Staples,Masalas & Spices,200 g,"Golden Harvest Khuskhus when you are preparing refreshments with milk. Moreover, you can use Khuskhus when you're preparing sweets for festive occasions.",Hygienically packedQuality assured
238,"Ketchup - Fresh Tomato,Doy",kissan,120,95.0,Packaged Food / Festive Store / Sauces Jams & Spreads,Packaged Food,Sauces Jams & Spreads,950 g, ,"This one?s definitely a winner when it comes to cajoling your kids into eating their food. Its remarkable flavour comes from the 100% real juicy tomatoes that have gone in making it. It?s an assured hero for all the snacks, be it samosas, pakodas, noodles or plain roti roll ? a perfect ally for making wholesome and yummy food. Spread it on a crunchy cracker, roll it up in a roti roll, pour it on a samosa or noodles for your kids? tiffin time with an assortment of flavours. So the next time you want to make those greens in your kids? plate tolerable, turn to Kissan Tomato Ketchup, secret to empty tiffins!! Started in 1934, Kissan is a popular brand in India. Kissan is more than just jams, ketchups, sauces and squashes. It?s all about kids eating happily  growing up happily. Kissan?s tasty and natural goodness keeps both, mothers  kids happy. The brand?s reassurance to mothers is that they can make tiffin times fun yet wholesome with the Kissan range of products that are made with 100% natural ingredients! The tangy red burst of tomatoes in ketchup, will give you the sensorial delight of nature?s goodness. Kissan Fresh Tomato Ketchup is made from 100% real tomatoesKissan sources 100% of its tomatoes from sustainable sources thereby helping create and support several local smallholder farmers' livelihoodsIs easy to pour and use and can be enjoyed with every snackMade with 100% real tomatoesTurns a boring meal into an empty tiffinEnjoy it best with samosas, pakodas, noodles or Roti roll for an interesting tiffin mealCarefully sealed in impermeable glass packaging to retain the best flavour and taste of product"
